11,"defoe-robinson-103.txt	3.0",0.903089987
stalks,"defoe-robinson-103.txt	5.0",1.505149978
sterling,"defoe-robinson-103.txt	5.0",1.505149978
steward,"defoe-robinson-103.txt	5.0",1.505149978
stores,"defoe-robinson-103.txt	5.0",1.505149978
stowed,"defoe-robinson-103.txt	5.0",1.505149978
straggling,"defoe-robinson-103.txt	5.0",1.505149978
swallowed,"defoe-robinson-103.txt	5.0",1.505149978
uneasiness,"defoe-robinson-103.txt	5.0",1.505149978
useless,"defoe-robinson-103.txt	5.0",1.505149978
voyages,"defoe-robinson-103.txt	5.0",1.505149978
welcome,"defoe-robinson-103.txt	5.0",1.505149978
writing,"defoe-robinson-103.txt	5.0",1.505149978
15,"defoe-robinson-103.txt	4.0",1.204119983
17,"defoe-robinson-103.txt	4.0",1.204119983
abandoned,"defoe-robinson-103.txt	4.0",1.204119983
accept,"defoe-robinson-103.txt	4.0",1.204119983
anniversary,"defoe-robinson-103.txt	4.0",1.204119983
approach,"defoe-robinson-103.txt	4.0",1.204119983
arguments,"defoe-robinson-103.txt	4.0",1.204119983
beforehand,"defoe-robinson-103.txt	4.0",1.204119983
behavior,"defoe-robinson-103.txt	4.0",1.204119983
blown,"defoe-robinson-103.txt	4.0",1.204119983
boil,"defoe-robinson-103.txt	4.0",1.204119983
bow,"defoe-robinson-103.txt	4.0",1.204119983
bullet,"defoe-robinson-103.txt	4.0",1.204119983
bunch,"defoe-robinson-103.txt	4.0",1.204119983
bury,"defoe-robinson-103.txt	4.0",1.204119983
buy,"defoe-robinson-103.txt	4.0",1.204119983
cannibal,"defoe-robinson-103.txt	4.0",1.204119983
catched,"defoe-robinson-103.txt	4.0",1.204119983
claim,"defoe-robinson-103.txt	4.0",1.204119983
compose,"defoe-robinson-103.txt	4.0",1.204119983
continuing,"defoe-robinson-103.txt	4.0",1.204119983
countries,"defoe-robinson-103.txt	4.0",1.204119983
crows,"defoe-robinson-103.txt	4.0",1.204119983
curing,"defoe-robinson-103.txt	4.0",1.204119983
customs,"defoe-robinson-103.txt	4.0",1.204119983
delighted,"defoe-robinson-103.txt	4.0",1.204119983
dispositions,"defoe-robinson-103.txt	4.0",1.204119983
dominions,"defoe-robinson-103.txt	4.0",1.204119983
earthenware,"defoe-robinson-103.txt	4.0",1.204119983
embers,"defoe-robinson-103.txt	4.0",1.204119983
emperor,"defoe-robinson-103.txt	4.0",1.204119983
endeavor,"defoe-robinson-103.txt	4.0",1.204119983
entering,"defoe-robinson-103.txt	4.0",1.204119983
esteemed,"defoe-robinson-103.txt	4.0",1.204119983
evidently,"defoe-robinson-103.txt	4.0",1.204119983
falls,"defoe-robinson-103.txt	4.0",1.204119983
float,"defoe-robinson-103.txt	4.0",1.204119983
gives,"defoe-robinson-103.txt	4.0",1.204119983
grace,"defoe-robinson-103.txt	4.0",1.204119983
hardness,"defoe-robinson-103.txt	4.0",1.204119983
hare,"defoe-robinson-103.txt	4.0",1.204119983
hazy,"defoe-robinson-103.txt	4.0",1.204119983
hinted,"defoe-robinson-103.txt	4.0",1.204119983
improved,"defoe-robinson-103.txt	4.0",1.204119983
innumerable,"defoe-robinson-103.txt	4.0",1.204119983
knives,"defoe-robinson-103.txt	4.0",1.204119983
knows,"defoe-robinson-103.txt	4.0",1.204119983
lamp,"defoe-robinson-103.txt	4.0",1.204119983
leaning,"defoe-robinson-103.txt	4.0",1.204119983
leisurely,"defoe-robinson-103.txt	4.0",1.204119983
lemons,"defoe-robinson-103.txt	4.0",1.204119983
lion,"defoe-robinson-103.txt	4.0",1.204119983
liquor,"defoe-robinson-103.txt	4.0",1.204119983
lump,"defoe-robinson-103.txt	4.0",1.204119983
