blew,defoe-robinson-103.txt	20.0,0.0
blew,callwild	3.0966465E-5,0.0
blinded,defoe-robinson-103.txt	2.0,0.0
blinded,callwild	3.0966465E-5,0.0
blindly,defoe-robinson-103.txt	1.0,0.3010299956639812
blinking,callwild	1.2386586E-4,3.7287338927880353E-5
blistered,defoe-robinson-103.txt	1.0,0.3010299956639812
blocked,callwild	3.0966465E-5,0.0
blocked,defoe-robinson-103.txt	1.0,0.0
blood,callwild	4.3353048E-4,0.0
blood,defoe-robinson-103.txt	17.0,0.0
bloodhound,callwild	3.0966465E-5,9.321834731970088E-6
bloodshed,defoe-robinson-103.txt	1.0,0.3010299956639812
bloodshot,callwild	6.193293E-5,1.8643669463940177E-5
blow,defoe-robinson-103.txt	12.0,0.0
blow,callwild	1.5483232E-4,0.0
blowing,callwild	6.193293E-5,0.0
blowing,defoe-robinson-103.txt	9.0,0.0
blown,defoe-robinson-103.txt	4.0,1.2041199826559248
blue,callwild	3.0966465E-5,0.0
blue,defoe-robinson-103.txt	1.0,0.0
blundering,callwild	3.0966465E-5,9.321834731970088E-6
board,defoe-robinson-103.txt	71.0,21.373129692142665
boastful,callwild	3.0966465E-5,9.321834731970088E-6
boat,callwild	2.4773172E-4,0.0
boat,defoe-robinson-103.txt	238.0,0.0
boatswain,defoe-robinson-103.txt	7.0,2.1072099696478683
boded,callwild	3.0966465E-5,9.321834731970088E-6
bodies,callwild	1.2386586E-4,0.0
bodies,defoe-robinson-103.txt	8.0,0.0
body,defoe-robinson-103.txt	20.0,0.0
body,callwild	7.741616E-4,0.0
boil,defoe-robinson-103.txt	4.0,1.2041199826559248
boiling,defoe-robinson-103.txt	1.0,0.3010299956639812
bolder,defoe-robinson-103.txt	2.0,0.6020599913279624
boldly,callwild	3.0966465E-5,0.0
boldly,defoe-robinson-103.txt	1.0,0.0
bologna,callwild	3.0966465E-5,9.321834731970088E-6
bolted,callwild	3.0966465E-5,9.321834731970088E-6
bolts,defoe-robinson-103.txt	2.0,0.6020599913279624
bombarded,callwild	3.0966465E-5,9.321834731970088E-6
bondage,defoe-robinson-103.txt	1.0,0.3010299956639812
bone,callwild	1.8579878E-4,0.0
